Entity_VI,Entity_EN
và làm,and do
bạch mã,White horse
giày bệt,sneakers
khách sạn xe buýt tàu,train bus hotel
ánh sáng âm thanh nhạc cụ sống,"light, sound, live musical instruments"
chủ nhà -,host -
lễ đính hôn,engagement
văn phòng phẩm,stationery
cải xanh,broccoli
dịch vụ bàn,table service
vận chuyển sân,yard transportation
bữa ăn chay,vegetarian meals
đội ngũ du lịch,travel team
bán khăn lụa,Selling silk scarves
ngôi làng nổi,floating village
vô số,countless
đức bà,Notre Dame
hướng dẫn chương,chapter guide
mực khi,ink when
quanh thái,around
ăn uống địa,local food and drink
biên,record
quảng bá rượu vang,wine promotion
hành hương công giáo,Catholic pilgrimage
về đêm,at night
bánh bao khoai mì vô,Tapioca dumplings come in
con đèo,pass
cảnh tham quan,sightseeing scene
kỷ niệm phật giáo,Buddhist memories
người trung,middle person
nhân viên trị liệu mát-xa đều vô,The massage therapists all came in
con trai,with trai
cột gỗ lim,Ironwood columns
dịch vụ thuê xe tư,private car rental service
thời trang phong lan,orchid fashion
ngũ trường dạy nấu ăn,five cooking schools
cho đến,until
con tem,con tem
bai chay,bai chai
hang động địa phương đến,local cave to
chèo thuyền kayak bơi lội,kayaking swimming
mê kông,mekong
giá may,sewing price
lượng bao bì,amount of packaging
nhà thờ thuộc,church belongs to
trạng thái nguyên sơ,pristine state
phong thái,style
cư dân địa phương,local residents
tiny nail,tiny nail
mức độ,level
cách tôn,respectful way
họ chu đáo,they are thoughtful
chân trước khi,feet before
đảo cát bà,Cat Ba island
chuyến đi mệt mỏi,tiring trip
trái cây trứng,egg fruit
văn hóa khu,district culture
đồ cũ,old thing
the wifi,the wifi
chuyến tham quan day adventure,day adventure tour
diệu hoa,magic flower
đường tràng,colon
trang trại trồng lúa,rice farm
xáo trộn,mix
nhà kiến,hothouse
áo sơ mi may đo,tailored shirts
cocktail thì,cocktails then
chuyến đi bộ đường,road trip
phố biển,coastal city
câu lạc bộ âm nhạc,music Club
rau củ mọc,vegetables grow
vũ,Vu
mát-xa toàn thân bằng liệu,Full body massage with herbs
nhà bếp nơi,kitchen place
chả giò gỏi,Spring roll salad
dịch vụ hợp túi,Affordable service
trẻ nhỏ,children
sản phẩm sáng,bright product
upper,upper
chân cháu gái,niece&#39;s feet
loài hoa nhiệt đới,tropical flowers
chợ hoa nấu,cooked flower market
chuyến đi nhóm,group trip
văn hóa và lịch sử địa phương,local culture and history
thụy,Thuy
hành trình văn hóa,cultural journey
dịch vụ mát-xa từ người,human massage service
phương pháp nấu ăn,cooking method
hàng giày,shoe store
chuyến đi solo,solo trip
phê trứng thật,real egg coffee
phương án 2,plan 2
cầu vồng,rainbow
đồ vịnh,bay map
nhà bán lẻ,Retailers
tone,tone
bàn thờ phượng hoàng,phoenix altar
sinh viên người,student person
khu bảo tồn thiên nhiên pù luông,Pu Luong nature reserve
truyện tranh sơn mài của,lacquer&#39;s comics
nhà hát lê,Le theater
chà lộn,rub
giày cao,high heel
thợ làm,worker
thái độ lái xe,driving attitude
ảnh người,photo of person
tòa,court
lê,but
động câu cá ban đêm,Night fishing
bộ suit,suit
bóng đá,football
nước sốt,sauce
thờ bạch mã,worship the white horse
quá cảnh,transit
người đại diện,representative
ban nhạc dj,dj band
lính canh,guards
mỗi,each
chuyến tham quan tưởng niệm chiến tranh,war memorial tour
bánh mì kiểu việt nam,Vietnamese style bread
nhà khảo,examiner
hoạt động tôn giáo,religious activities
chuyến đi bộ đó,that walk
thung lũng xanh,green valley
bề ngoài,appearance
hương vị quê nhà,taste of home
sà lan,barge
đồ ăn nhẹ nước,water snacks
kiến ​​trúc thì,Architecture is
cảnh quan hơi sương mù,Slightly foggy landscape
cơm thơm món tráng,fragrant rice and dessert
điểm gặp gỡ,meeting point
tre đá nóng,hot stone bamboo
phan xi păng,Phan Xi Pang
hoạt động trơn tru,smooth operation
vị ngon,good taste
bún vườn thanh long,dragon fruit garden vermicelli
bụng,belly
dịch vụ wifi,wifi service
điệu nhảy,dance
mặt hàng quà tặng,gift items
chuyến đi 2 ngày 1 đêm,2 days 1 night trip
khô và,dry and
phòng hướng dẫn viên,tour guide room
đồ ăn thuần chay,vegan food
trang người,people page
khu phức hợp bảo,security complex
bảo tàng văn hóa,cultural Museum
bầu không khí trang nhã,elegant atmosphere
khóa học aowd,aowd course
ca cao - -,cocoa - -
tầng 2,2nd Floor
chuyến đi dịch vụ,service trip
liệu pháp tự nhiên,natural therapy
gừng,ginger
ngôi nhà sàn,stilt house
nha,nha
cây chuối,banana tree
nhân viên tiệm may,tailor shop employee
món đồ đó,that item
cửa hàng cạnh,Next door store
giả da,Leatherette
rau cuộn,rolled vegetables
chăm sóc da mặt và móng,Facial and nail care
bánh mì baguette,baguette bread
thiên đường,heaven
canh,soup
chef ly,chief shelter
đồ trang sức quần áo đến tranh vẽ,clothing jewelry to paintings
mục,item
cơn ác,evil
buôn bán gốm sứ,ceramic trade
bạc hà,Mint
dịch vụ mát-xa chất lượng,quality massage service
xe đạp đường,road bike
tiền boa,Tip
view hồ,lake view
tom biến,tom variable
mát-xa so với,massage vs
cửa hàng sửa chữa,repair shop
buổi họp mặt trung học,high school reunion
hãng lữ hành,travel agency
vật chất và dịch,material and fluid
dragon,dragon
dân tộc thiểu số ruộng bậc thang,ethnic minorities terraced fields
bưu thiếp,postcard
vua,king
bài hát nhạc pop,pop song
tôn nghiêm,formal
cầu sông,river bridge
bia rẻ,cheap beer
đặc vụ,agent
khu chợ đêm,night market
bánh mì cho,bread for
công việc du lịch,tourism work
màu sơn,color of paint
nhà hàng ms ly,ms ly restaurant
tra que,tra que
món nồi đất,clay pot dish
hải sản canh,seafood soup
trả vest,Return the vest
may vest,may vest
phộng nghiền,crushed peanuts
thực phẩm nấu bữa,food cooked
chưa,Not yet
không khí sôi,boiling air
dự trữ,reserved
được sử,used
du lịch văn hóa,cultural tourism
độc giả,Readers
resort,resort
bức tranh chân dung,portrait painting
tốc độ,speed
du lịch sinh thái làng chài,fishing village ecotourism
cày xới đất,plow the land
chủ nhà kim,gold house owner
pha cà phê,Make coffee
taxi,taxi
diện,face
đất nông nghiệp,agricultural land
chú chim tuccan,tuccan bird
tiềm năng,potential
địa điểm hoàng gia,royal location
sừng,horn
thợ may địa phương,local tailor
chuyến đi riêng,private trip
lịch sử điều kiện xã hội thiên nhiên,history social and natural conditions
món ăn ngon nước,delicious food and water
củ sen,Lotus root
fansipan,fansipan
đội tuyển quốc,national team
đồ uống ngon sa mạc,Delicious desert drinks
người dẫn,guide
kiệu tang sơn mài,lacquer palanquin
bát tràng đích,bowl of destination
cửa hang động đảo,island cave door
bữa trưa phở,pho lunch
đám cháy,Fire
bảo tàng gốm sứ,ceramic museum
thời gian rảnh,free time
pioneer,pioneer
ga cáp treo,cable car station
sản phẩm ren lụa,silk lace products
ưu tiên,prioritize
trường đại học địa phương,local university
quy trình dệt lụa,silk weaving process
chuyến đi tàu tre,bamboo train trip
góc,corner
dịch vụ in,printing service
vợ,wife
bữa sáng bữa trưa,breakfast lunch
áo dựa,leaning shirt
góc tranh,picture corner
cho chuyến du ngoạn,for the excursion
kem dâu,Strawberry ice-cream
say sóng,seasick
đến đảo,to the island
kiến ​​thức tính,computational knowledge
phiên chợ đêm,night market
cạnh,edge
đĩa phô,plate
đền bạch mã,white horse temple
áo khoác cân đối,balanced jacket
vườn quốc gia bạch,Bach national park
mì địa phương,local noodles
suối tự nhiên,natural stream
kỹ thuật số,digital
bố trí,arrange
trình xe buýt,bus show
chuyến đi nha trang,Nha Trang trip
loại lụa,silk type
trà nóng đá,hot iced tea
vọng cảnh,hopeless scene
báu vật,treasure
được cung,provided
rượu vang đỏ,Red wine
món ăn đường phố địa phương,local street food
chảo,pan
trải nghiệm giao thông,traffic experience
đồ ăn hội an,Hoi An food
trang trại nông nghiệp,agricultural farm
đường hầm hang động,cave tunnel
chuyến tham quan thiên nhiên,nature tour
ngôi nhà nổi,floating house
vài,few
lẽ hơi,slightly
trang trí truyền thống,Traditional decoration
phong tục địa phương,local customs
chuyến tham quan làng tuổi,village tour
cơ sở địa phương,local establishment
ngày nghỉ,day off
quần áo cân đối,balanced clothes
người nhện,Spiderman
hồng kông,Hong Kong
tại spa,at the spa
quần short mới,new shorts
cầu bàn tay vàng,Golden hand bridge
bố,dad
may bikini,may bikini
du thuyền aspira vịnh,aspira bay cruise
món đồ sứ,porcelain
gội,wash
ngôi nhà phố ẩn giấu,Hidden townhouse
bia chưa,beer yet?
dịch vụ chăm sóc móng chân mát-xa,Massage pedicure service
làng dân tộc thiểu số,ethnic minority village
bánh mì bơ,buttered bread
cát ấm,warm sand
rừng trái cây,fruit forest
chuyến đi hà,trip ha
quần áo mỹ phẩm,cosmetic clothing
ngôi nhà di động,mobile home
kỹ năng cắt may,sewing skills
cuộc sống cần thơ,Life needs poetry
cho tôi,for me
cơ sở thuyền,boat base
thời xa xưa,ancient times
cá rạn san hô,coral reef fish
giờ nghỉ,break
thời lượng,time
ly ở chợ,glasses at the market
hoạt động văn hóa,cultural activities
wi-fi của,wi-fi&#39;s
bộ đồ tôn,Corrugated suit
chú chà,uncle scrub
vn uống,vn drink
câu chuyện- mua,story-buy
bánh mì hamburger,hamburgers
dragon pearl,dragon pearl
áo vest5,vest5
quận tham,Tham district
du lịch châu,Asia travel
người săn hành trình,journey hunter
chính hãng,genuine
thời gian ngắn,short time
tẩy tế bào chết,kill death celk
chuyến tham quan làng,village tour
hấp kiểu,Steamed style
pha cocktail,pha cocktail
đồ chống thấm nước,waterproof gear
thanh cạnh tranh,competition bar
trà thì,tea then
đầu bếp robert,chef robert
ẩm thực việt nam,Vietnamese cuisine
hàng dệt may dân tộc thiểu số,ethnic minority textiles and garments
túi đựng máy tính xách,laptop bag
trải nghiệm tết,Tet experience
studio,studio
bộ sưu tập ảnh đen trắng,Black and white photo collection
vùng viễn đông,far east region
my,my
tour đi,tour
lái xe của,driver&#39;s
khóa,lock up
thành phố cổ,old City
honda cub,honda cub
du lịch san,San tourism
kỹ năng lái xe,driving skills
phí chuyển phát,free delivery
chuyến tham quan hang thiên,Thien cave tour
chanh dây,Passion fruit
bình cốc,cup
king vuong chinh duc,king&#39;s conquest
độ ẩm thực,food humidity
bảo tồn đảo chim,bird island conservation
giọng hát,voice
trời,God
gara,we are
trường dạy lướt,surfing school
mắt,eye
quần short denim,denim shorts
bình bát,Bowl
to an,to an
chào tom,Hello Tom
rặng tre,bamboo trees
ban,ban
rolls,rolls
văn hóa không khí,air culture
tầng mái,roof deck
viền,rim
cảnh điện tử,electronic scene
du thuyền lan,Lan yacht
hamburger,hamburger
chuyến tham quan ẩm thực buổi,Food tour session
núi chụp,shooting mountain
món phở việt,Vietnamese pho
nhà vườn truyền thống,Traditional garden house
mặt trơn,smooth surface
sàn nhảy,dance floor
khu chợ đường phố,street market
đồ thêu lụa,silk embroidery
cá dừa nóng,hot coconut fish
​​cocktail,cocktail
sân khấu rộng,wide stage
thưởng thức,enjoy
trận mưa,rain
rượu khuya,late night drinking
bánh tráng cuốn,Rice paper rolls
tượng nghệ truyền thống,traditional art statue
trà sữa,milk tea
bia ăn,beer to eat
siem,siem
khu vườn cũ,old garden
làng bản hồ,Ban Ho village
liệu trình chăm sóc da mặt,facial treatment
bài đánh,playing cards
trung tâm lặn,diving center
chuyến du lịch xa,long trip
chuyến tham quan vườn quốc gia bạch,Bach National Park tour
quần áo theo,clothes follow
chuyến tham quan bằng xe,car tour
dự án du lịch,tourism project
chị hương,Huong sister
món đồ đất sét cũ,old clay utensils
hoa hậu thế giới,Miss World
hải sản địa phương,local seafood
sông tam,tam river
thúng,pannier
bài ca tưởng niệm,memorial song
chuyến tham quan hồi giáo,islamic tour
đồ uống lạnh,cold drink
tàu họ,their ship
sách lịch sử,history book
phí thuyền,boat fees
bộ sưu tập vải,fabric collection
phòng máy,engine room
phần thực phẩm,food section
kiến ​​trúc cổ xưa,ancient architecture
chợ bình,average market
hang ruan,hang ruan
ngắm cảnh hoàng,admire the scenery
của trường,school
con bạch,octopus
chi tiết thêu,embroidery details
ruby thật,real rubies
trang trại vịt ruộng lúa,rice field duck farm
cảnh thiên nhiên,natural scene
đời sống hoang dã,wild life
thịt bbq,bbq meat
giá tầm trung,mid-range price
xe buýt địa phương,local bus
canh xắt,chopped soup
đoạn âm thanh,audio clip
kho,treat
nét hoang sơ,wild features
chuyến đi hồ chí,Ho Chi Minh trip
tiệm may long,tailor shop
khu chợ ẩm,wet market
lực lượng lao động,workforce
môi trường sống,habitat
đồng phạm,partners in crime
tấm áp,pressure plate
fitness,fitness
ruộng,rice field
nhà tổ chức,organizer
lướt sóng,surf
dự án,project
quan ở hà,officials in Ha
xe jeep thả đỉnh,Top drop jeep
người lãnh đạo,leader
áo khoác thể thao may đo -,tailored sports jacket -
tác phẩm địa phương,local works
massage dầu,oil massage
tòa nhà triều đại,dynastic building
chuyến đi trăng mật,honeymoon trip
chiếc thuyền du lịch,tourist boat
chèo thuyền kayak nướng,kayak grill
com điều,com article
hand,hand
ngửi,smell
đồ nướng,barbecue
cây ăn quả trong sân,fruit trees in the yard
bọn,guys
gặt lúa,harvest
mũi me,me nose
quốc,country
thổ dân,native
- haha,- haha
mùi thơm,aroma
thuyền phao,pontoon boat
bởi sam người,by sam people
chuyến đi dừa,coconut trip
lối sống địa phương,local lifestyle
tẩu truyền thống,traditional pipe
bái đính -,Bai Dinh Pagoda -
ao tự nhiên,natural pond
trà sen,after the sen
đắm chìm tùy,Immerse yourself
điều xa,far thing
lê quang lộc,Le Quang Loc
đặt xe,book a car
túi vải thô,duffle bag
nhạc rb hiphop,rb hiphop music
bác sĩ phẫu thuật,operated doctor
công thức,recipe
kiến ​​thức nghị lực,knowledge and energy
dịch vụ mát-xa này ở,This massage service is in
căn cứ hậu cần,logistics base
tàu đêm,night train
kích da,skin irritation
súng trường,rifle
thỉu,dirty
tin tức,news
con voọc,langurs
văn hóa trà,tea culture
rau mùi ớt tươi,fresh chili coriander
xe buýt ben thahn,ben thahn bus
nhân viên phương,local staff
áo khoác lót lụa,silk lined jacket
taxi địa phương,local taxi
dứa khô,dried pineapple
quả,fruit
tour vespa,tour vespa
bánh tráng trang trại,farm rice paper
bảo tàng văn hóa dân gian,Folklore Museum
cửa hàng đó thì,That store does
biểu diễn ảo thuật,magic show
vùng vịnh,Bay
but guess,but guess
khu dã ngoại,picnic area
sông hương,Huong river
nước dùng,water use
đồ thủ công mỹ nghệ,handicrafts
lotus,lotus
dịch bệnh,pandemic
ngày trăng tròn,full moon day
đối tác kinh doanh,Business Partners
người dân sài gòn,Saigon people
món mới,new dish
văn hóa cuộc sống,life culture
dầu dừa hữu cơ,Organic coconut oil
tham quan ẩm thực đường phố,Street food tour
tiện,convenient
đống tiền,pile of money
bộ mặt,face
thang,thang
chất liệu ren,lace material
chuyến tham quan tam coc,Tam Coc tour
trị liệu ấn,pressing therapy
thành phố cảng,port city
hang động ẩn giấu,hidden cave
cực quang,Aurora
thợ may hòa,tailor
khu chợ nơi người dân địa phương,market place where local people live
dưới nước,Underwater
khung cảnh biển,sea ​​scenery
chân ăn đặc sản,eat specialties
dịch vụ vận chuyển quốc,international shipping service
chú chó cưng,pet dog
mát-xa chân một chút,Give your feet a little massage
bè tre,well three
sinh viên địa phương,local students
mức giá cạnh tranh,competitive price
ẩm thực hà nội,Hanoi cuisine
suối nước,fountain
con trâu,buffalo
đài quang,radio station
nhẹ như,as light as
xi-rô,syrup
câu chuyện địa phương,local story
tác phẩm nghệ thuật -,artwork -
con bạch mã,white horse
truyền thuyết địa phương,local legend
the view,the view
dịch vụ xe mũi,nose car service
cậu thiếu niên,teenage boy
5k,5k
chuyến tham quan ẩm thực đường phố hương vị,Flavor Street Food Tour
buổi biểu diễn múa truyền,traditional dance performance
đi thuyền tre,take a bamboo boat ride
điểm trừ,minus point
bùn lầy,mud
nhà điên,crazy house
phồng,puffy
sap,sap
hàng đợi cáp treo,cable car queue
món tráng miệng làm sẵn,ready-made desserts
cánh cửa,door
vườn quốc gia bạch mã,Bach Ma National Park
trăng,moon. moon
cầu chương dương,Pray for Chuong Duong
món chay,vegetarian dish
khu cảnh quan,landscape area
nhịp độ chậm,slow pace
nhà nghỉ sinh thái,eco-lodge
hạt quất cắm,kumquat seeds plugged
rạp giải trí,entertainment theater
phí vận chuyển,transport fee
của shop,of the shop
hồ tam tiến,Tam Tien Lake
nhẫn vàng trắng,white gold ring
nghỉ đêm,Overnight stay
vành đai là,belt is
ngụm,sip
bờ sông nơi,riverbank place
quà tặng -,present -
tiết,details
kênh đó,that channel
đó ăn,That eats
ba bể,three tanks
ốc đảo nghệ thuật,art oasis
cho giày,for shoes
đi tuyệt,go great
ruby,ruby
- lin,- lin
ẩm thực và truyền thống,Cuisine and traditions
blazer,blazer
chẽm,bass
phòng trưng bày nghệ thuật nguyen,Nguyen Art Gallery
đội sen,lotus team
thể thao the dude,sport the dude
váy cotton,cotton dress
phương tiện hướng dẫn du lịch,means of tourist guidance
chuyến đi chậm,slow trip
nhà trọ địa điểm tham,boarding house location
trải rong biển,spread seaweed
chim cút,quail
hướng dẫn viên du lịch người,Tour guide person
cô hầu,maid
kim cương,diamond
phong nha kẻ,decent guys
sản phẩm đồ da,leather products
giá đã,price already
bữa ăn chỗ ở,meals accommodation
halong bay,mixed bay
xu hướng,trend
bằng liệu,by material
cuộn chiên,fried rolls
mì truyền thống,Traditional noodles
cho cái,for the
cơm chiên sen,lotus fried rice
chùa vin tràng,Vin Trang Pagoda
đồi núi hẻm núi,canyon hills
rau bina,rau build
tam bảo,three treasures
ý thức sinh thái,ecological consciousness
câu chuyện tội phạm,crime story
thật xuất,really outstanding
họ sẵn,they are available
thắc mắc,question
nhà sàn,stilt house
phong thuy--wind,feng shui--wind
khách sạn pù luông,Pu Luong hotel
du thuyền le,le yacht
phương,direction
cần thơ,Can Tho
không khí hấp,steaming air
ngồi uống nước dừa,sit and drink coconut water
thợ săn,Hunter
buổi hát karaoke,karaoke session
rùng,shudder
liệu pháp mát-xa lưng,back massage therapy
vespa,vespa
nhà bếp kiểu pháp,french style kitchen
thom ho,thomas be
làn gió,wind
cọc tre,bamboo poles
khu bảo tồn phụng,phoenix sanctuary
tu,tu
cửa hàng xe máy,motorbike shop
châu đốc,Continental Director
cưỡi,Riding
núi sương mù,foggy mountains
cotton,cotton
điển tích rắn,solid legend
vải cotton lụa,silk cotton fabric
khoảng nghỉ,break
thuyền dứa,pineapple boat
ùn tắc giao thông du lịch,tourist traffic jams
xe tư nhân,private car
giáo sư du lịch,Professor of Tourism
kết cấu,structure
sản phẩm dân tộc,ethnic products
chủ tịch,chairperson
phòng hoạt động,activity room
dự án môi trường,environmental project
bữa sáng tại,breakfast at
hàng đã,goods already
đôi bốt dài,long boots
khuôn mặt chống lão hóa,anti-aging face
hoàn hảo,perfect
món đặc sản hội an,Hoi An specialties
chất lỏng,liquid
trụ sở,headquarters
ly nước táo,glass of apple juice
dịch vụ massage đá nóng,Hot stone massage service
thử đồ uống,try drinks
người đồng hành,partner
khu đất nông trại,farm land
ẩm thực đường,sugar cuisine
chủ tịch hồ chí minh,Ho Chi Minh president
tầm nhìn ra biển,sea ​​view
chất bảo,preservative
cốc giấy,paper cup
hiệu,signal
giày da tinh xảo,sophisticated leather shoes
cụm mây,cloud cluster
khăn choàng,Shawls
vua lý thái tổ,King Ly Thai To
rượu mùi gạo,rice liqueur
người đầu bếp,the chef
tâm bảo,Tam said
bánh mì chuối,banana bread
thừng,rope
nơi trú ẩn,shelter
trợ lý,assistant
chị em,sisters
lưu xuân mạnh,strong spring
chuyến đi bộ có,walking tour yes
tour chợ,market tour
sản phẩm sơn mài,lacquer products
húng quế,basil
lối vào,entrance
hàng đống,heaps
cách xa giao thông,away from traffic
công nghệ cao,high technology
cảnh sát đường thủy,Water Police
món thịt,meat dish
vị phật,Buddha
hyatt,hyatt
bia tặng,donated beer
ngồi xổm,squat
ca nô,Canoe
ta phạm,I commit
món mì mỹ quang,My Quang noodles
phòng y tế,public health station
bữa tiệc âm nhạc,music party
váy cocktail,cocktail dress
phụ nữ,women
tê tê,is coming
buổi trưng bày,exhibition
cho gram,for grams
ngươi,you
cách trang trí,the way to decorate
chuyến chuyển,transfer
trà gừng nóng,hot ginger tea
gió giật,Gale
tea,tea
bức ảnh sống,live photo
tour du lịch vườn quốc gia,national park tour
phố cây,tree street
trận bóng đá,football match
cạnh cắt,cutting edge
khuyến nghị ấm áp,Warm recommendation
kênh đào,Canal
chuyến tham quan đi bộ,walking tour
chuyến tham quan ẩm thực đường phố buổi chiều,afternoon street food tour
diện mạo,face
pol pot,pole can
bởi thảm,by carpet
độ bền,reliability
thợ làm móng,nail technician
đàn non,young herd
lớp sữa trứng,custard layer
gia công,machining
máng xối,gutter
thăm ngũ hành sơn,Visit the Five Elements Mountains
và đứa,and child
động thái,move
bun bo nam bo,bun bo nam bo
chủ ly,cup holder
lương giao,assigned salary
nhân hậu,lenient
cửa hàng nhà chăm sóc sức khỏe,health care home store
naan ấn độ,Indian naan
công ty,company
thể thao dưới nước,water sport
làng gốm,pottery village
chiếc lồng,cage
vivi,vivi
phần thưởng,reward
nguồn thu nhập,income
tiệm làm đẹp nail,nail beauty salon
điểm dừng đến,arrival stop
phòng đơn,single room
ly cocktail 1 nước,1 water cocktail
dụng cụ ăn uống,dining subtances
hàm răng,teeth
hở lưng,backless
chợ với,market with
mát-xa được thực,The massage was real
vùng đồng bằng sông cửu long,Mekong Delta region
khu vực quầy,counter area
phiền phức,annoying
mùa xào tỏi,Garlic stir-fry season
hàng mua hàng,purchase goods
trang phục thì,costumes then
​​lịch sử,history
trái mùa,ill-timed
chuyến đi đến,trip arrives
nón lá,conical hat
hỗn hợp,mixture
bánh tôm nhỏ,small shrimp cakes
bãi đỗ xe,parking
hoa đêm,night flowers
váy thanh lịch,elegant dress
cửa hàng tạp hóa,grocery
cạnh giường ngủ,next to the bed
ngôi nhà phố cổ,old town house
tha om,tha om
sách thời trang,fashion books
dịch vụ mát-xa tại spa,Massage services at the spa
phòng trưng bày nghệ thuật sông thu,Autumn River Art Gallery
​​bữa tiệc,party
phim đen,black film
chợ hải sản,Seafood Market
đồ ăn buffet,buffet food
làn nước,water
food tour,food tour
nhà dân sinh thái,ecological homestay
tòa nhà cổ,ancient building
xe buýt gần sân,Bus near the yard
địa điểm dừng chân,stopover location
dịch vụ hạng,class service
mai châu mai,Mai Chau Mai
chỗ ngủ,sleeping place
tour 2 đêm,2 night tour
cho hoa,for flowers
cây cối bướm,butterfly trees
kỹ thuật mát-xa thật tuyệt,The massage technique was great
xe đạp xe đạp,bicycle bicycle
làng nông nghiệp,agricultural village
dàn nhạc,orchestra
mekong,mekong
điều phối giao thông,traffic coordination
bảo tàng dân tộc học văn miếu,Museum of Ethnology and Temple of Literature
mát-xa thư,mail massage
chua ngọt,Sweet and sour
loại thực vật,plant type
naan,naan
chuyến đi đêm,night trip
massage toàn thân,Full body massage
chất lượng vật liệu,material quality
thợ gốm,Potter
đồ đóng,Clothes
ba island,ba island
nhà máy dừa,coconut factory
gian nghỉ,rest period
chuyến tham quan buổi chiều,afternoon tour
phần,part
chi nhánh,branch
biểu diễn âm nhạc truyền thống,traditional music performance
chuyến tham quan xuyên,cross tour
giản cho chứng,simple for proof
buổi diễn chính,main show
lịch sử xây dựng,construction history
ly bia thơm,Fragrant beer
ly rượu vang,Cup of wine
người lái xe máy,Motorcycle riders
hoàng su,Hoang Su
bún thủ công -,handmade vermicelli -
cây cao đó,That tall tree
đồng đội,teammate
đóng tàu,shipbuilding
áo cộng,plus shirt
tracey,tracey
giãn nơi họ,relax in them
chất lượng vải,fabric quality
lụa cotton-lụa,silk cotton-silk
đồ họa,Graphics
thị trấn sa,sa town
người lái xe niềm,happy driver
khảo cổ học,archeology
nhà máy bún,noodle factory
bà nà hills,Ba Na Hills
lê lợi,Le Loi
món hàu -,oyster dish -
túi giấy,paper bags
trà sả,lemongrass tea
trái cây nhiệt đới,tropical fruits
vườn bách thảo,Botanical garden
khuôn viên trường,Campus
lạnh bất,cold
sàn tàu,deck
món ngon địa phương,local delicacies
làng gà,chicken village
thô thiển,rude
hiệu ứng,effect
yên xe,saddle
thăm hoa,visit flowers
dây kéo,zipper
mát-xa rất tuyệt,great massage
đi bộ leo,hiking
cá khỏa thân,nude fish
không tráng lệ,not magnificent
thung lũng tình,valley of love
tv,tv
binh,binh
dj địa phương,local djs
cứu cánh,salvage
thói quen dinh dưỡng,nutritional habits
vườn trái cây nhiệt đới,Tropical fruit garden
chuyến thăm đảo khỉ,Monkey Island visit
nụ hôn,Kiss
sức mạnh,power
màu xanh,green
lưu trữ,storage
vườn hoa hướng dương,sunflower garden
ngôi nhà hàng,restaurant house
sân xanh,green yard
nah trang,well then
hàng chính hãng,genuine
ánh nắng mặt,sunlight
áo lụa,silk shirt
chuyến đi 3 ngày,3 day trip
giày thuyền,boat shoes
hòn đảo văn hóa lối sống,lifestyle culture island
hàng du lịch,travel goods
cầu rồng thở,ask the dragon to breathe
làng banho,banho village
cửa hàng thủ công địa phương,local craft store
quần cho,pants for
chủ đề,topic
tour vườn quốc gia,national park tour
tour guide,tour guide
phạm vi,limit
trải nghiệm lớp học nấu ăn,Experience a cooking class
xưởng bún,noodle factory
không gian sáng tạo,creative space
đô tử cấm thành,Forbidden City
mát-xa đầu tiên,First massage
nêm,wedge
bình thủy,vase
liệu pháp mát-xa trong chuyến,Massage therapy during the trip
kỳ nghỉ lười biếng,lazy vacation
du thuyền quản lý hành trình,cruise ship cruise line manager
tay đua thịnh,Prosperous racer
đường đèo,mountain pass
tàu ngọc rồng,Dragon Ball Ship
trải nghiệm lái xe máy,motorbike driving experience
ky,ky
giày thể,Sports shoes
bình bình,average
lò sưởi,heater
phim chiến tranh,war film
rừng tràm trà sư,Tra Su cajuput forest
hở hang,revealing
bưu,post
bài học nấu ăn,cooking lessons
phẩm may đo,Tailored
chân sướng,happy feet
bánh mì kẹp thịt ngon,delicious burgers
sông cửu,Mekong river
hành lang,lobby
sĩ trẻ,young scholar
giày da lộn,Leather shoes
đồng bằng sông mê,Mekong Delta
lụa đồ thủ công,silk handicrafts
chuyến bơi lội,swimming trip
chuyến khứ hồi,round
chuyến tham quan 1,tour 1
hình thức,form
tay vịn,Handrails
bánh mì nước mía,sugarcane juice bread
cốc là,cup is
xáo trộn hành trình,itinerary disturbance
áo khác,another shirt
nghi thức pha trà,tea making ritual
tằm,silkworm
trình bày,present
nhà mì,noodle house
bóng disco,disco ball
cột cờ cố,fixed flagpole
câu chuyện hướng dẫn,Instructional story
quán cà phê ẩn,Hidden cafe
bia nước,water beer
chái,wing
cảnh quan thiên nhiên,natural landscape
tranh sơn mài đông hồ,Dong Ho lacquer painting
angkor thom,angkor thom
câu đố,Riddle
đôi sản xuất,double production
phòng tổng thống,presidential
pù luông,Pu Luong
trà giải khát,tea
bùn,mud
chim gõ,knocking bird
quán bar the,bar the
của lúa,of rice
mức giảm giá,discount level
áo họ may,the clothes they sew
vân thao tác tỉ mỉ,meticulous manipulation
thái và cô,Thai and Ms
đồ gia,family
thú,animal
bức tranh lụa,silk painting
họ nhìn,they look
buổi biểu diễn múa,dance performance
taxi điện,electric taxi
khu rừng thông,pine forest
karaoke,karaoke
đồ chất lượng,quality items
trại-the bữa,camp-the meal
tiền đi,money go
​​dịch vụ,service
chọn da,choose leather
người chèo thuyền,Boatman
khu du lịch nghỉ dưỡng,resort area
nhẹ từ,mild words
thung lũng trung tâm,central valley
thuyền vạn đò chùa,temple sampan boat
tự chiên,fry yourself
vì sân,because of anger
gối,pillow
nghi thức xã giao,etiquette
street,street
hấp,steam
vn,vn
spa lười,lazy spa
cá gặp nước,fish meets water
túi xách tranh vẽ,painting bags
